|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
0||||||||1|07/01/2020|Vente|8000.0||||B063|FORTUNAT|1250.0|CEYZERIAT|1|72||AK|216||||||||||||0||||||T||1061.0
1||||||||1|02/01/2020|Vente|2175.0||||B124|TERRES DES CINQ SAULES|1290.0|LAIZ|1|203||B|4||||||||||||0||||||BT||85.0
2||||||||1|02/01/2020|Vente|2175.0||||B006|BOIS DU CHAMP RION|1290.0|LAIZ|1|203||B|173||||||||||||0||||||T||1115.0
3||||||||1|02/01/2020|Vente|2175.0||||B025|EN COROBERT|1290.0|LAIZ|1|203||B|477||||||||||||0||||||T||1940.0
4||||||||1|02/01/2020|Vente|2175.0||||B124|TERRES DES CINQ SAULES|1290.0|LAIZ|1|203||C|68||||||||||||0||||||T||1148.0
5||||||||1|02/01/2020|Vente|2175.0||||B124|TERRES DES CINQ SAULES|1290.0|LAIZ|1|203||C|69||||||||||||0||||||T||2960.0
6||||||||1|07/01/2020|Vente|75000.0|||RUE|0064|DE LA CHARTREUSE|1960.0|PERONNAS|1|289||AI|210||||||||||||0||||||AB||610.0
7||||||||1|07/01/2020|Vente|123.0||||B041|CHAMP PORTIER|1370.0|VAL-REVERMONT|1|426||ZN|197||||||||||||0||||||S||55.0
8||||||||1|07/01/2020|Vente|123.0||||B041|CHAMP PORTIER|1370.0|VAL-REVERMONT|1|426||ZN|201||||||||||||0||||||S||68.0
9||||||||1|09/01/2020|Vente|72000.0||||B034|CHAMPEL|1270.0|COLIGNY|1|108||AC|15||||||||||||0||||||J||328.0
10||||||||1|09/01/2020|Vente|72000.0||||B034|CHAMPEL|1270.0|COLIGNY|1|108||AC|261||||||||||||0||||||P||1207.0
11||||||||1|09/01/2020|Vente|72000.0|5367.0|||B107|LORETTE|1270.0|COLIGNY|1|108||AH|48||||||||||||0|1.0|Maison||35.0|2.0|S||381.0
12||||||||1|10/01/2020|Vente|64000.0|||RUE|0064|DE LA CHARTREUSE|1960.0|PERONNAS|1|289||AI|223||||||||||||0||||||AB||530.0
13||||||||1|06/01/2020|Vente|180300.0|31.0||RUE|0970|COMTE DE LA TEYSSONNIERE|1000.0|BOURG-EN-BRESSE|1|53||AI|138||||||||||||0|1.0|Maison||75.0|4.0|S||525.0
14||||||||1|06/01/2020|Vente|54800.0|6.0||AV|0770|DU CHAMP DE FOIRE|1000.0|BOURG-EN-BRESSE|1|53||BK|197||211.0|31.68|39.0||||||||2|2.0|Appartement||32.0|1.0|||
15||||||||1|03/01/2020|Vente|350750.0|904.0||CHE|0149|DES GDES CADALLES|1000.0|SAINT-DENIS-LES-BOURG|1|344||AC|34||||||||||||0||||||S||19.0
16||||||||1|03/01/2020|Vente|350750.0|904.0|B|CHE|0149|DES GDES CADALLES|1000.0|SAINT-DENIS-LES-BOURG|1|344||AC|39||||||||||||0|1.0|Maison||201.0|7.0|S||1497.0
17||||||||1|03/01/2020|Vente|350750.0|904.0|B|CHE|0149|DES GDES CADALLES|1000.0|SAINT-DENIS-LES-BOURG|1|344||AC|39||||||||||||0|1.0|Maison||201.0|7.0|J||1267.0
18||||||||1|03/01/2020|Vente|350750.0|904.0|B|CHE|0149|DES GDES CADALLES|1000.0|SAINT-DENIS-LES-BOURG|1|344||AC|39||||||||||||0|3.0|Dépendance||0.0|0.0|J||1267.0
19||||||||1|03/01/2020|Vente|350750.0|904.0|B|CHE|0149|DES GDES CADALLES|1000.0|SAINT-DENIS-LES-BOURG|1|344||AC|39||||||||||||0|3.0|Dépendance||0.0|0.0|S||1497.0
20||||||||1|03/01/2020|Vente|350750.0||||B003|LES CADALLES|1000.0|SAINT-DENIS-LES-BOURG|1|344||AC|180||||||||||||0||||||AB||91.0
