|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
0||||||||1|03/01/2018|Vente|109000.0|13.0||RUE|1660|GEN LOGEROT|1000.0|BOURG-EN-BRESSE|1|53||AN|73||1.0||31.0||||||||2|2.0|Appartement||73.0|4.0|||
1||||||||1|03/01/2018|Vente|109000.0|13.0||RUE|1660|GEN LOGEROT|1000.0|BOURG-EN-BRESSE|1|53||AN|73||13.0||||||||||1|3.0|Dépendance||0.0|0.0|||
2||||||||1|04/01/2018|Vente|239300.0|4.0||RUE|0025|DE LA BARMETTE|1250.0|NIVIGNE ET SURAN|1|95||AH|186||||||||||||0|1.0|Maison||163.0|4.0|S||949.0
3||||||||1|04/01/2018|Vente|239300.0|4.0||RUE|0025|DE LA BARMETTE|1250.0|NIVIGNE ET SURAN|1|95||AH|186||||||||||||0|1.0|Maison||163.0|4.0|AG|JARD|420.0
4||||||||1|04/01/2018|Vente|239300.0|4.0||RUE|0025|DE LA BARMETTE|1250.0|NIVIGNE ET SURAN|1|95||AH|186||||||||||||0|1.0|Maison||51.0|2.0|AG|JARD|420.0
5||||||||1|04/01/2018|Vente|239300.0|4.0||RUE|0025|DE LA BARMETTE|1250.0|NIVIGNE ET SURAN|1|95||AH|186||||||||||||0|1.0|Maison||51.0|2.0|S||949.0
6||||||||1|04/01/2018|Vente|90000.0||||B034|LE DRUILLET|1380.0|SAINT-CYR-SUR-MENTHON|1|343||ZR|359||||||||||||0||||||S||278.0
7||||||||1|04/01/2018|Vente|90000.0|5050.0|||B034|LE DRUILLET|1380.0|SAINT-CYR-SUR-MENTHON|1|343||ZR|361||||||||||||0|1.0|Maison||150.0|3.0|S||347.0
8||||||||1|04/01/2018|Vente|90000.0||||B034|LE DRUILLET|1380.0|SAINT-CYR-SUR-MENTHON|1|343||ZR|363||||||||||||0||||||S||23.0
9||||||||2|10/01/2018|Vente|3150.0||||B077|PONT D AIN|1160.0|PONT-D AIN|1|304||AM|461||||||||||||0||||||S||126.0
10||||||||2|12/01/2018|Vente|2100.0||||B135|SOUS LE BOIS GIROUD|1250.0|JASSERON|1|195||C|2066||||||||||||0||||||BT||197.0
11||||||||1|04/01/2018|Vente|67000.0|12.0||ALL|3044|DE LA PETITE REYSSOUZE|1000.0|BOURG-EN-BRESSE|1|53||BD|227||19.0||||||||||1|2.0|Appartement||45.0|1.0|||
12||||||||1|11/01/2018|Vente|76200.0|5.0||RUE|2690|MOLIERE|1000.0|BOURG-EN-BRESSE|1|53||AP|152||203.0||209.0||||||||2|2.0|Appartement||68.0|3.0|||
